epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.1476,1.48217,5.43622,1.32739,0.3374,0.13965,0.11305,0.08495,0.99756,3.30197,1.03174,4.4e-05,4.4e-05,4.4e-05
2,165.219,1.01106,2.03858,1.03135,0.70329,0.46144,0.47589,0.37707,0.92053,1.55395,0.97711,9.10892e-05,9.10892e-05,9.10892e-05
3,246.327,0.87844,1.19481,0.95459,0.95562,0.5528,0.60632,0.4884,0.8207,0.83937,0.94144,0.000137228,0.000137228,0.000137228
4,326.523,0.85971,1.0586,0.95346,0.88171,0.63374,0.77188,0.63522,0.83327,0.7225,0.93924,0.000182416,0.000182416,0.000182416
5,408.336,0.84986,0.74816,0.93711,0.80825,0.76387,0.77933,0.61822,0.8451,0.59723,0.93972,0.000226654,0.000226654,0.000226654
6,487.892,0.82911,0.88686,0.93894,0.93705,0.73796,0.78608,0.6448,0.82397,0.57236,0.9289,0.000269942,0.000269942,0.000269942
7,571.627,0.80668,0.73323,0.93787,0.95575,0.75877,0.79113,0.64975,0.82388,0.55891,0.92867,0.000312279,0.000312279,0.000312279
8,651.533,0.80578,0.68277,0.93299,0.86338,0.81897,0.84682,0.70619,0.82434,0.5447,0.92406,0.000353666,0.000353666,0.000353666
9,730.264,0.79881,0.65925,0.92251,0.9187,0.83042,0.86784,0.68878,0.85649,0.55987,0.93066,0.00036832,0.00036832,0.00036832
10,809.749,0.79443,0.58822,0.91956,0.83936,0.80697,0.8467,0.66951,0.87202,0.53747,0.9342,0.00036436,0.00036436,0.00036436
11,889.27,0.81322,0.6009,0.93361,0.95916,0.80422,0.88626,0.71501,0.83954,0.49623,0.92595,0.0003604,0.0003604,0.0003604
12,968.361,0.7942,0.53067,0.92394,0.93233,0.85477,0.95581,0.74742,0.79776,0.47076,0.92026,0.00035644,0.00035644,0.00035644
13,1047.45,0.76729,0.56672,0.92124,0.87351,0.9258,0.96657,0.77479,0.78954,0.45007,0.91649,0.00035248,0.00035248,0.00035248
14,1126.4,0.75858,0.52072,0.90784,0.92329,0.93214,0.948,0.75653,0.79424,0.4329,0.91757,0.00034852,0.00034852,0.00034852
15,1205.4,0.73801,0.5243,0.9141,0.82214,0.90368,0.91781,0.75241,0.77215,0.4441,0.91313,0.00034456,0.00034456,0.00034456
16,1284.23,0.75536,0.47776,0.90887,0.93391,0.93482,0.96305,0.76638,0.77188,0.40889,0.90898,0.0003406,0.0003406,0.0003406
17,1362.21,0.75592,0.49703,0.90233,0.95213,0.94895,0.96753,0.80071,0.77166,0.41318,0.91545,0.00033664,0.00033664,0.00033664
18,1440.3,0.7441,0.50636,0.9106,0.95768,0.94451,0.96267,0.80418,0.78942,0.40495,0.91706,0.00033268,0.00033268,0.00033268
19,1519.41,0.78385,0.51896,0.92661,0.94953,0.93574,0.96212,0.81072,0.77068,0.41518,0.91744,0.00032872,0.00032872,0.00032872
20,1598.31,0.74401,0.46896,0.9176,0.95256,0.94393,0.96365,0.81667,0.77928,0.39978,0.91623,0.00032476,0.00032476,0.00032476
21,1677.63,0.7289,0.44694,0.90399,0.94174,0.94439,0.96338,0.81806,0.78394,0.40322,0.91959,0.0003208,0.0003208,0.0003208
22,1755.55,0.74484,0.45368,0.91462,0.94631,0.92601,0.9624,0.80892,0.76761,0.39873,0.91133,0.00031684,0.00031684,0.00031684
23,1833.43,0.74699,0.46104,0.91547,0.96703,0.92774,0.96547,0.8169,0.7791,0.39113,0.91331,0.00031288,0.00031288,0.00031288
24,1911.93,0.73981,0.44514,0.91308,0.96903,0.93211,0.96294,0.80875,0.76648,0.38057,0.91454,0.00030892,0.00030892,0.00030892
25,1991.15,0.75115,0.44207,0.91288,0.95372,0.94758,0.96314,0.81057,0.79535,0.38235,0.91903,0.00030496,0.00030496,0.00030496
26,2069.8,0.76271,0.45689,0.91779,0.96069,0.95121,0.96564,0.82167,0.76662,0.38077,0.91637,0.000301,0.000301,0.000301
27,2148.83,0.73134,0.42617,0.90884,0.93913,0.93827,0.96553,0.83216,0.76661,0.39126,0.91262,0.00029704,0.00029704,0.00029704
28,2227.95,0.74358,0.46286,0.90733,0.93495,0.93432,0.96872,0.82456,0.76202,0.39534,0.90945,0.00029308,0.00029308,0.00029308
29,2307.7,0.73144,0.42309,0.91194,0.95282,0.94123,0.9727,0.83263,0.74136,0.3644,0.90314,0.00028912,0.00028912,0.00028912
30,2386.68,0.74025,0.41301,0.91139,0.95554,0.94598,0.96731,0.83093,0.74169,0.36844,0.90468,0.00028516,0.00028516,0.00028516
31,2465.13,0.7007,0.40537,0.8991,0.95971,0.94095,0.96417,0.82688,0.76079,0.37553,0.91278,0.0002812,0.0002812,0.0002812
32,2543.9,0.6889,0.40507,0.89931,0.9599,0.94144,0.96512,0.8182,0.73753,0.36535,0.9075,0.00027724,0.00027724,0.00027724
33,2622.62,0.70832,0.40437,0.90334,0.93869,0.94837,0.96234,0.81925,0.73599,0.36625,0.90449,0.00027328,0.00027328,0.00027328
34,2701.53,0.70596,0.40901,0.91406,0.95765,0.93147,0.9636,0.80689,0.74729,0.36339,0.90977,0.00026932,0.00026932,0.00026932
35,2780.4,0.72607,0.38644,0.89019,0.96157,0.92999,0.96359,0.81754,0.73766,0.34871,0.90203,0.00026536,0.00026536,0.00026536
36,2859.26,0.70986,0.38964,0.89657,0.96161,0.93298,0.96472,0.82259,0.75153,0.34752,0.90508,0.0002614,0.0002614,0.0002614
37,2937.15,0.70867,0.38618,0.90715,0.95472,0.9378,0.96497,0.82238,0.73304,0.35253,0.90595,0.00025744,0.00025744,0.00025744
38,3015.25,0.6943,0.38762,0.90233,0.96855,0.93857,0.96532,0.8264,0.7428,0.33882,0.90706,0.00025348,0.00025348,0.00025348
39,3094.29,0.7022,0.41003,0.90573,0.95767,0.94503,0.96426,0.82236,0.73927,0.36015,0.90595,0.00024952,0.00024952,0.00024952
40,3172.77,0.6942,0.38596,0.8914,0.96886,0.93861,0.96494,0.82601,0.73309,0.34333,0.90467,0.00024556,0.00024556,0.00024556
41,3253.99,0.67619,0.37676,0.89143,0.95831,0.93264,0.96466,0.82974,0.74877,0.35508,0.90691,0.0002416,0.0002416,0.0002416
42,3335.13,0.69583,0.38094,0.89892,0.97062,0.92779,0.96481,0.8219,0.75223,0.35553,0.90714,0.00023764,0.00023764,0.00023764
43,3415.67,0.68617,0.3722,0.89779,0.95065,0.92977,0.96539,0.82778,0.74354,0.35799,0.90577,0.00023368,0.00023368,0.00023368
44,3494.34,0.66086,0.37703,0.89454,0.95128,0.93974,0.96664,0.83432,0.73824,0.34422,0.90927,0.00022972,0.00022972,0.00022972
45,3573.48,0.68923,0.36697,0.89781,0.96216,0.9341,0.9649,0.83496,0.71974,0.33643,0.90455,0.00022576,0.00022576,0.00022576
46,3652.71,0.67569,0.37453,0.90152,0.95741,0.93059,0.96431,0.83247,0.73557,0.33909,0.90691,0.0002218,0.0002218,0.0002218
47,3732.73,0.70009,0.3703,0.90414,0.95432,0.93667,0.96455,0.8366,0.73448,0.34014,0.90748,0.00021784,0.00021784,0.00021784
48,3812.06,0.6876,0.37339,0.89683,0.9549,0.93314,0.96461,0.83557,0.72737,0.33261,0.90262,0.00021388,0.00021388,0.00021388
49,3891.21,0.67955,0.36611,0.90175,0.95496,0.93612,0.96512,0.84029,0.71424,0.32213,0.90416,0.00020992,0.00020992,0.00020992
50,3970.38,0.68331,0.35688,0.8834,0.9657,0.93087,0.96545,0.83782,0.71359,0.32382,0.90346,0.00020596,0.00020596,0.00020596
51,4049.69,0.68208,0.35227,0.89351,0.95943,0.93352,0.96419,0.84181,0.72752,0.33341,0.90281,0.000202,0.000202,0.000202
52,4128.78,0.6755,0.35654,0.88908,0.96329,0.9328,0.96458,0.84657,0.73685,0.33302,0.90614,0.00019804,0.00019804,0.00019804
53,4207.37,0.66734,0.3429,0.88619,0.90263,0.95433,0.96392,0.83719,0.73344,0.33555,0.90553,0.00019408,0.00019408,0.00019408
54,4286.65,0.67574,0.36224,0.89001,0.90986,0.94684,0.96424,0.83672,0.73369,0.33087,0.9045,0.00019012,0.00019012,0.00019012
55,4366.17,0.66521,0.35647,0.90049,0.91964,0.93687,0.96505,0.83935,0.74093,0.32841,0.90919,0.00018616,0.00018616,0.00018616
56,4445.33,0.669,0.34767,0.88524,0.94477,0.93688,0.96391,0.83857,0.73716,0.3272,0.90543,0.0001822,0.0001822,0.0001822
57,4524.89,0.67257,0.33908,0.89377,0.95124,0.95279,0.96333,0.84227,0.71641,0.32047,0.90137,0.00017824,0.00017824,0.00017824
58,4603.96,0.67139,0.33356,0.89039,0.96076,0.9583,0.96627,0.84787,0.71121,0.32136,0.90038,0.00017428,0.00017428,0.00017428
59,4683.61,0.64407,0.33035,0.88379,0.96163,0.9525,0.96559,0.84668,0.71479,0.32125,0.90017,0.00017032,0.00017032,0.00017032
60,4762.73,0.65623,0.33929,0.88384,0.95804,0.9499,0.96577,0.83854,0.72221,0.31997,0.90414,0.00016636,0.00016636,0.00016636
61,4841.62,0.64373,0.3266,0.88702,0.96471,0.93655,0.96566,0.83916,0.72516,0.32378,0.90653,0.0001624,0.0001624,0.0001624
62,4920.02,0.67759,0.34083,0.88949,0.9613,0.93868,0.96509,0.8409,0.71711,0.32421,0.90379,0.00015844,0.00015844,0.00015844
63,4998.18,0.64493,0.34008,0.89271,0.97206,0.92998,0.96543,0.83965,0.71152,0.32093,0.89949,0.00015448,0.00015448,0.00015448
64,5076.6,0.64698,0.3244,0.8789,0.96502,0.93109,0.96528,0.84271,0.71826,0.31493,0.90059,0.00015052,0.00015052,0.00015052
65,5154.99,0.65773,0.32826,0.88735,0.97309,0.93218,0.96709,0.84159,0.71024,0.30979,0.89929,0.00014656,0.00014656,0.00014656
66,5233.69,0.63962,0.32823,0.88187,0.9525,0.94028,0.96741,0.84415,0.70533,0.30874,0.89854,0.0001426,0.0001426,0.0001426
67,5314.68,0.64664,0.32148,0.88663,0.96754,0.92831,0.96613,0.83714,0.70525,0.31524,0.89843,0.00013864,0.00013864,0.00013864
68,5395.22,0.62816,0.31565,0.87771,0.96446,0.93611,0.966,0.83448,0.70055,0.3089,0.8993,0.00013468,0.00013468,0.00013468
69,5474.28,0.64495,0.32402,0.87959,0.96145,0.93963,0.966,0.84035,0.70142,0.31195,0.89919,0.00013072,0.00013072,0.00013072
70,5553.57,0.64542,0.33227,0.88831,0.96562,0.93968,0.96516,0.83275,0.70991,0.31476,0.90244,0.00012676,0.00012676,0.00012676
71,5633.41,0.63394,0.33445,0.88953,0.97082,0.93621,0.96585,0.8392,0.71804,0.3166,0.90467,0.0001228,0.0001228,0.0001228
72,5712.62,0.64483,0.33728,0.89235,0.97271,0.93524,0.96593,0.83462,0.71576,0.31318,0.90266,0.00011884,0.00011884,0.00011884
73,5792.68,0.64305,0.3205,0.88306,0.97163,0.93742,0.96601,0.83712,0.7116,0.30529,0.90025,0.00011488,0.00011488,0.00011488
74,5874.87,0.65086,0.31832,0.88448,0.96804,0.93938,0.96435,0.84372,0.7039,0.30362,0.89969,0.00011092,0.00011092,0.00011092
75,5954.72,0.64049,0.3212,0.88755,0.96773,0.93768,0.96496,0.83446,0.70558,0.30652,0.90031,0.00010696,0.00010696,0.00010696
76,6034.25,0.63095,0.32176,0.8834,0.96584,0.93087,0.96481,0.83495,0.70283,0.30363,0.89941,0.000103,0.000103,0.000103
77,6115.16,0.61911,0.31375,0.88748,0.96837,0.92868,0.96562,0.83496,0.70139,0.3032,0.8983,9.904e-05,9.904e-05,9.904e-05
78,6194.22,0.61639,0.30516,0.88533,0.96754,0.93212,0.96556,0.83567,0.70483,0.30396,0.90033,9.508e-05,9.508e-05,9.508e-05
79,6274.22,0.63466,0.30697,0.87507,0.96539,0.93402,0.96617,0.84233,0.71,0.30756,0.90147,9.112e-05,9.112e-05,9.112e-05
80,6353.29,0.63277,0.31046,0.87553,0.96654,0.93325,0.96486,0.83503,0.70627,0.30395,0.9007,8.716e-05,8.716e-05,8.716e-05
81,6432.3,0.6251,0.30788,0.88687,0.96815,0.93236,0.9648,0.83556,0.70139,0.30726,0.90018,8.32e-05,8.32e-05,8.32e-05
82,6511.84,0.63036,0.31928,0.88562,0.9676,0.93686,0.96618,0.84202,0.70294,0.31004,0.8994,7.924e-05,7.924e-05,7.924e-05
83,6591.01,0.626,0.30702,0.88149,0.97124,0.9341,0.96604,0.84229,0.69953,0.30698,0.89936,7.528e-05,7.528e-05,7.528e-05
84,6670.42,0.61854,0.30175,0.87993,0.96917,0.9344,0.96481,0.84148,0.70121,0.30767,0.89949,7.132e-05,7.132e-05,7.132e-05
85,6749.93,0.6221,0.30722,0.88458,0.96565,0.93451,0.96498,0.84204,0.69932,0.30545,0.89885,6.736e-05,6.736e-05,6.736e-05
86,6829.77,0.59357,0.29445,0.86009,0.97386,0.93876,0.96664,0.85047,0.69519,0.30223,0.89817,6.34e-05,6.34e-05,6.34e-05
87,6908.87,0.60811,0.31111,0.88518,0.96987,0.94167,0.96681,0.85074,0.69226,0.29864,0.89717,5.944e-05,5.944e-05,5.944e-05
88,6988.41,0.59745,0.312,0.87661,0.97341,0.94132,0.96656,0.8481,0.69126,0.29632,0.8958,5.548e-05,5.548e-05,5.548e-05
89,7068.54,0.63528,0.30942,0.88521,0.97005,0.93937,0.96651,0.84834,0.69304,0.29688,0.89523,5.152e-05,5.152e-05,5.152e-05
90,7149.56,0.57817,0.2895,0.86116,0.97225,0.93921,0.96655,0.85158,0.69329,0.29631,0.89492,4.756e-05,4.756e-05,4.756e-05
91,7229.05,0.44987,0.27391,0.89213,0.97322,0.93724,0.96654,0.84576,0.69435,0.29531,0.89594,4.36e-05,4.36e-05,4.36e-05
92,7308.09,0.39883,0.26034,0.87731,0.96961,0.93432,0.96677,0.84611,0.69709,0.2983,0.89775,3.964e-05,3.964e-05,3.964e-05
93,7386.41,0.40163,0.25448,0.88219,0.96799,0.93396,0.96656,0.84498,0.70239,0.30082,0.90006,3.568e-05,3.568e-05,3.568e-05
94,7464.34,0.39549,0.25618,0.87948,0.96863,0.93256,0.96529,0.84256,0.70621,0.30206,0.90098,3.172e-05,3.172e-05,3.172e-05
95,7543.7,0.38885,0.26561,0.8878,0.96866,0.93247,0.96491,0.84083,0.70952,0.30314,0.90123,2.776e-05,2.776e-05,2.776e-05
96,7622.61,0.38232,0.2513,0.87865,0.96881,0.93234,0.96409,0.83658,0.711,0.30447,0.90152,2.38e-05,2.38e-05,2.38e-05
97,7701.5,0.37269,0.23435,0.87728,0.96774,0.93149,0.96407,0.84023,0.71122,0.30561,0.90159,1.984e-05,1.984e-05,1.984e-05
98,7780.97,0.36972,0.23095,0.87639,0.96868,0.9325,0.96416,0.83627,0.7114,0.30659,0.9016,1.588e-05,1.588e-05,1.588e-05
99,7860.14,0.3669,0.24348,0.87372,0.96653,0.93371,0.96401,0.83574,0.71233,0.30813,0.90207,1.192e-05,1.192e-05,1.192e-05
100,9404.39,0.35463,0.22465,0.87163,0.96963,0.93056,0.96497,0.83541,0.71298,0.30899,0.90259,7.96e-06,7.96e-06,7.96e-06
